keyword,faculty,strength
container,engineering,7
container,architecture,13
container,design,6
future,engineering,2
future,architecture,10
future,design,14
data mining,engineering,25
data mining,architecture,0
data mining,design,1
sustainable mobility,engineering,10
sustainable mobility,architecture,8
sustainable mobility,design,8
spa,engineering,8
spa,architecture,18
spa,design,0
heritage,engineering,2
heritage,architecture,16
heritage,design,8
Turkey,engineering,12
Turkey,architecture,11
Turkey,design,3
titanium dioxide,engineering,22
titanium dioxide,architecture,0
titanium dioxide,design,4
visualization,engineering,12
visualization,architecture,0
visualization,design,14
energy management,engineering,26
energy management,architecture,0
energy management,design,0
localization,engineering,25
localization,architecture,1
localization,design,0
tablet,engineering,13
tablet,architecture,0
tablet,design,13
manufacturing,engineering,22
manufacturing,architecture,0
manufacturing,design,4
office,engineering,5
office,architecture,10
office,design,11
learning,engineering,17
learning,architecture,3
learning,design,6
composite,engineering,84
composite,architecture,1
composite,design,6
skyscraper,engineering,7
skyscraper,architecture,18
skyscraper,design,0
student housing,engineering,0
student housing,architecture,21
student housing,design,4
port,engineering,2
port,architecture,22
port,design,1
enterprise risk management,engineering,25
enterprise risk management,architecture,0
enterprise risk management,design,0
scaffold,engineering,23
scaffold,architecture,2
scaffold,design,0
CO2,engineering,25
CO2,architecture,0
CO2,design,0
electrodeposition,engineering,25
electrodeposition,architecture,0
electrodeposition,design,0
numerical model,engineering,25
numerical model,architecture,0
numerical model,design,0
urban park,engineering,4
urban park,architecture,18
urban park,design,3
business plan,engineering,24
business plan,architecture,1
business plan,design,0
recycle,engineering,29
recycle,architecture,21
recycle,design,18
numerical simulation,engineering,25
numerical simulation,architecture,0
numerical simulation,design,0
map,engineering,4
map,architecture,4
map,design,17
hospitality,engineering,1
hospitality,architecture,13
hospitality,design,11
Pavia,engineering,0
Pavia,architecture,25
Pavia,design,0
risk analysis,engineering,25
risk analysis,architecture,0
risk analysis,design,0
solar energy,engineering,20
solar energy,architecture,4
solar energy,design,1
tunnel,engineering,23
tunnel,architecture,1
tunnel,design,1
scheduling,engineering,25
scheduling,architecture,0
scheduling,design,0
product,engineering,8
product,architecture,0
product,design,16
anaerobic digestion,engineering,24
anaerobic digestion,architecture,0
